order_id,order_date,total_amount,user_id,user_name,city,membership,restaurant_id,restaurant_name,cuisine,rating,order_year,order_month,order_month_name,order_quarter,order_day_of_week
1,2023-02-18,842.97,2508,User_2508,Hyderabad,Regular,450,New Foods Chinese,Mexican,3.2,2023,2,February,1,Saturday
2,2023-01-18,546.68,2693,User_2693,Pune,Regular,309,Ruchi Curry House Multicuisine,Indian,4.5,2023,1,January,1,Wednesday
3,2023-07-15,163.93,2084,User_2084,Chennai,Gold,107,Spice Kitchen Punjabi,Mexican,4.0,2023,7,July,3,Saturday
4,2023-10-04,1155.97,319,User_319,Bangalore,Gold,224,Darbar Kitchen Non-Veg,Chinese,4.8,2023,10,October,4,Wednesday
5,2023-12-25,1321.91,1064,User_1064,Pune,Regular,293,Royal Eatery South Indian,Italian,3.0,2023,12,December,4,Monday
6,2023-07-12,1497.22,2933,User_2933,Chennai,Regular,499,Annapurna Tiffins South Indian,Mexican,4.9,2023,7,July,3,Wednesday
7,2023-05-30,129.21,970,User_970,Bangalore,Regular,35,Royal Biryani North Indian,Chinese,3.9,2023,5,May,2,Tuesday
8,2023-11-07,269.19,891,User_891,Pune,Regular,57,Spice Mess Punjabi,Mexican,4.4,2023,11,November,4,Tuesday
9,2023-12-05,953.3,364,User_364,Chennai,Gold,7,Ruchi Biryani Punjabi,Italian,3.2,2023,12,December,4,Tuesday
10,2023-12-30,351.41,2972,User_2972,Bangalore,Regular,183,Taste of Biryani Non-Veg,Chinese,3.7,2023,12,December,4,Saturday
11,2023-12-10,523.82,924,User_924,Chennai,Regular,235,Amma Delights Family Restaurant,Italian,4.5,2023,12,December,4,Sunday
12,2023-10-27,1484.65,884,User_884,Pune,Gold,423,Royal Tiffins Multicuisine,Indian,3.2,2023,10,October,4,Friday
13,2023-08-11,216.59,1958,User_1958,Chennai,Regular,244,Amma Tiffins South Indian,Italian,4.3,2023,8,August,3,Friday
14,2023-09-24,898.24,364,User_364,Chennai,Gold,112,Grand Cafe Punjabi,Chinese,3.2,2023,9,September,3,Sunday
15,2023-07-17,1098.41,1733,User_1733,Pune,Regular,383,Amma Biryani North Indian,Indian,3.1,2023,7,July,3,Monday
16,2023-07-17,475.74,1321,User_1321,Pune,Gold,149,Amma Restaurant South Indian,Mexican,3.6,2023,7,July,3,Monday
17,2023-04-09,1002.51,1896,User_1896,Pune,Regular,421,Ruchi Foods Chinese,Indian,3.0,2023,4,April,2,Sunday
18,2023-04-23,736.89,1617,User_1617,Pune,Gold,414,Darbar Delights South Indian,Chinese,4.7,2023,4,April,2,Sunday
19,2023-12-27,392.59,330,User_330,Chennai,Regular,73,Spice Mess Andhra,Mexican,3.1,2023,12,December,4,Wednesday
20,2023-02-03,362.01,2567,User_2567,Bangalore,Gold,52,Udupi Curry House South Indian,Mexican,4.9,2023,2,February,1,Friday
21,2023-08-13,743.68,1610,User_1610,Pune,Regular,186,Darbar Restaurant North Indian,Indian,4.3,2023,8,August,3,Sunday
22,2023-07-12,507.82,688,User_688,Hyderabad,Gold,279,Sri Tiffins Andhra,Italian,4.9,2023,7,July,3,Wednesday
23,2023-06-14,1025.36,2640,User_2640,Bangalore,Gold,83,Darbar Mess Pure Veg,Chinese,3.5,2023,6,June,2,Wednesday
24,2023-01-22,412.5,2403,User_2403,Pune,Gold,434,Amma Kitchen Punjabi,Italian,4.7,2023,1,January,1,Sunday
25,2023-06-07,147.9,288,User_288,Pune,Regular,18,Annapurna Kitchen Family Restaurant,Italian,4.5,2023,6,June,2,Wednesday
26,2023-12-24,933.31,2915,User_2915,Chennai,Gold,129,New Cafe North Indian,Indian,4.1,2023,12,December,4,Sunday
27,2023-08-08,678.38,1056,User_1056,Bangalore,Regular,399,Swagath Cafe Multicuisine,Chinese,3.2,2023,8,August,3,Tuesday
28,2023-03-23,900.74,2370,User_2370,Bangalore,Regular,63,Ruchi Foods South Indian,Italian,5.0,2023,3,March,1,Thursday
29,2023-09-20,903.0,2905,User_2905,Pune,Gold,115,Annapurna Eatery Non-Veg,Chinese,3.3,2023,9,September,3,Wednesday
30,2023-04-23,996.26,2009,User_2009,Chennai,Gold,18,Annapurna Kitchen Family Restaurant,Italian,4.5,2023,4,April,2,Sunday
31,2023-04-03,199.16,1986,User_1986,Bangalore,Regular,190,Amma Restaurant Pure Veg,Chinese,3.1,2023,4,April,2,Monday
32,2023-01-26,741.1,1407,User_1407,Pune,Gold,93,Swagath Cafe Multicuisine,Chinese,4.9,2023,1,January,1,Thursday
33,2023-07-04,957.07,1761,User_1761,Bangalore,Gold,346,Amma Dhaba Non-Veg,Indian,4.5,2023,7,July,3,Tuesday
34,2023-06-15,455.96,844,User_844,Chennai,Gold,350,Classic Curry House South Indian,Mexican,3.2,2023,6,June,2,Thursday
35,2023-05-15,121.81,2858,User_2858,Hyderabad,Regular,291,Annapurna Foods Non-Veg,Mexican,4.3,2023,5,May,2,Monday
36,2023-09-12,140.83,186,User_186,Chennai,Regular,113,Darbar Biryani Pure Veg,Chinese,5.0,2023,9,September,3,Tuesday
37,2023-02-01,1198.64,952,User_952,Chennai,Gold,34,Ruchi Dhaba Multicuisine,Chinese,4.3,2023,2,February,1,Wednesday
38,2023-01-11,751.82,2972,User_2972,Bangalore,Regular,376,Amma Cafe Non-Veg,Indian,3.4,2023,1,January,1,Wednesday
39,2023-02-23,596.06,118,User_118,Pune,Regular,170,Spice Tiffins Family Restaurant,Mexican,4.4,2023,2,February,1,Thursday
40,2023-07-25,622.5,2773,User_2773,Pune,Gold,63,Ruchi Foods South Indian,Italian,5.0,2023,7,July,3,Tuesday
41,2023-01-09,753.16,1071,User_1071,Hyderabad,Gold,145,Amma Restaurant South Indian,Italian,3.1,2023,1,January,1,Monday
42,2023-01-21,955.51,2274,User_2274,Chennai,Regular,121,Sri Delights Non-Veg,Indian,4.1,2023,1,January,1,Saturday
43,2023-03-26,850.52,380,User_380,Bangalore,Regular,256,Sri Curry House Andhra,Italian,3.1,2023,3,March,1,Sunday
44,2023-12-04,512.14,633,User_633,Pune,Gold,161,Annapurna Biryani South Indian,Mexican,3.8,2023,12,December,4,Monday
45,2023-09-13,914.87,1146,User_1146,Pune,Gold,426,Royal Foods Non-Veg,Chinese,3.5,2023,9,September,3,Wednesday
46,2023-12-25,602.82,2294,User_2294,Pune,Regular,72,Sri Foods Chinese,Mexican,3.4,2023,12,December,4,Monday
47,2023-09-30,929.24,505,User_505,Hyderabad,Gold,69,Classic Tiffins Punjabi,Chinese,4.9,2023,9,September,3,Saturday
48,2023-11-30,957.14,372,User_372,Chennai,Regular,397,Amma Foods Family Restaurant,Indian,4.8,2023,11,November,4,Thursday
49,2023-02-10,183.82,2911,User_2911,Pune,Regular,234,Swagath Kitchen North Indian,Chinese,3.7,2023,2,February,1,Friday
50,2023-09-26,298.54,1673,User_1673,Chennai,Regular,118,Amma Mess Pure Veg,Mexican,3.8,2023,9,September,3,Tuesday
51,2023-05-10,893.66,1853,User_1853,Hyderabad,Gold,381,New Delights North Indian,Italian,4.6,2023,5,May,2,Wednesday
52,2023-08-18,1423.59,799,User_799,Chennai,Regular,462,Grand Curry House Family Restaurant,Italian,3.1,2023,8,August,3,Friday
53,2023-12-14,261.16,638,User_638,Hyderabad,Regular,262,Hotel Cafe Punjabi,Chinese,4.9,2023,12,December,4,Thursday
54,2023-09-06,334.11,1042,User_1042,Pune,Gold,266,Annapurna Delights Multicuisine,Italian,3.9,2023,9,September,3,Wednesday
55,2023-06-08,838.38,2610,User_2610,Pune,Regular,172,Darbar Eatery Family Restaurant,Italian,3.9,2023,6,June,2,Thursday
56,2023-10-20,1499.8,2560,User_2560,Pune,Gold,215,Spice Biryani Punjabi,Mexican,4.4,2023,10,October,4,Friday
57,2023-06-16,852.11,392,User_392,Chennai,Regular,273,Swagath Delights Andhra,Indian,3.9,2023,6,June,2,Friday
58,2023-02-22,1281.55,606,User_606,Hyderabad,Gold,361,Royal Dhaba Punjabi,Indian,4.5,2023,2,February,1,Wednesday
59,2023-11-07,169.22,1785,User_1785,Bangalore,Gold,247,Hotel Mess Punjabi,Mexican,3.2,2023,11,November,4,Tuesday
60,2023-04-10,544.55,1077,User_1077,Chennai,Regular,373,Sai Delights Chinese,Indian,3.6,2023,4,April,2,Monday
61,2023-08-30,1134.71,1753,User_1753,Hyderabad,Gold,130,Royal Restaurant South Indian,Indian,4.6,2023,8,August,3,Wednesday
62,2023-11-24,722.78,723,User_723,Bangalore,Gold,165,Udupi Kitchen Chinese,Mexican,4.3,2023,11,November,4,Friday
63,2023-07-27,1107.3,205,User_205,Pune,Gold,339,Annapurna Eatery South Indian,Indian,3.1,2023,7,July,3,Thursday
64,2023-03-09,625.41,1565,User_1565,Pune,Regular,189,Hotel Curry House Non-Veg,Indian,4.8,2023,3,March,1,Thursday
65,2023-04-07,881.86,2905,User_2905,Pune,Gold,220,Spice Kitchen North Indian,Mexican,3.2,2023,4,April,2,Friday
66,2023-08-12,1356.31,340,User_340,Chennai,Regular,70,Swagath Delights Punjabi,Chinese,4.7,2023,8,August,3,Saturday
67,2023-08-07,781.02,2716,User_2716,Pune,Regular,233,Grand Cafe Family Restaurant,Italian,4.5,2023,8,August,3,Monday
68,2023-04-19,165.97,850,User_850,Chennai,Regular,292,Amma Cafe North Indian,Mexican,4.0,2023,4,April,2,Wednesday
69,2023-07-10,1377.54,929,User_929,Chennai,Gold,162,New Foods Multicuisine,Italian,3.3,2023,7,July,3,Monday
70,2023-09-23,890.18,179,User_179,Bangalore,Regular,463,Hotel Delights Chinese,Chinese,3.2,2023,9,September,3,Saturday
71,2023-05-18,1401.97,773,User_773,Pune,Gold,256,Sri Curry House Andhra,Italian,3.1,2023,5,May,2,Thursday
